LWC_3407029970785900_01,"凌晨 4 点多 的 我 一点 困意 也 没有 闭上 眼睛 , 眼前 浮现 的 都 是 过去 一 年 里 发生 在 自己 身边 的 事 一 <CL> 是 那样 的 清晰 , 那样 的 甜蜜 , 那样 的 痛苦",痛苦,幕,种,件,件
LWC_3400011943257033_06,这 是 一 <CL> 高 素质 团队 。,团队,个,个,个,支
LWC_3403861354390414_01,发表 了 一 <CL> 新 文章 什么 是 匿名 购买 ?,文章,篇,篇,篇,篇
LWC_3401805159131257_01,阳台 那 <CL> 角落,角落,个,个,个,个
LWC_3400595178458921_02,"小 编 推荐 辣椒 膏炒蟹 烧 乌头 , 九龙城 龙岗道 6 <CL> 地下 , 人均 41100 。",地下,号,个,张,号
LWC_3403474626720419_01,昨晚 睡觉 梦到 好多 人 都 是 单独 的 梦 那 我 要 做 了 多少 <CL> 梦 啊,梦,个,个,个,个
LWC_3401952441056638_01,"注意 此 兄台 的 头 , 等 他 头发 长 出来 了 , 就 是 一 <CL> 帅哥 了 敬请 期待 !",帅哥,个,个,位,个
LWC_3403207961331789_01,我 想 听 这 <CL> 专辑 Awakening 何 韵诗,专辑,张,张,张,张
LWC_3401336231669639_02,一生 如 建筑 地产 版 生子 立项 征婚 公开 招标 相亲 邀请 招标 自由 恋爱 议标 提亲 投标 介绍人 招标 代理 第一 <CL> 见面,见面,次,次,次,次
LWC_3402520024087094_02,喜欢 女 主角 的 那 <CL> 歌曲 !,歌曲,首,首,首,首
LWC_3404361453985499_01,"年 廿八 , 两 <CL> 人 在 家 打 火锅 , 吃 得 不 会 动 , 好 满足 呀",人,个,个,个,个
LWC_3405840319422643_01,"希望 每 一 年 都 有 一 <CL> 这样 的 聚会 , 久违 的 你们 。",聚会,次,次,次,次
LWC_3399913019739377_01,大家 谁 知道 就 告告 我 联想 一体机 哪 <CL> 好,好,个,个,个,个
LWC_3403014310588433_01,"半夜 肚子 饿 了 , 果断 起床 吃 东西刷 围脖 来 推荐 一 <CL> 舒心 的 说唱 , 夜晚 听 也 不 会 嫌 心脏 不 够 强 。",舒心,首,个,个,首
LCMC_E15_0016_01,"在 每 <CL> 交易 结束 后 , 经纪人 都 要 向 客户 收取 佣金 , 不同 的 商品 、 定单 的 数量 、 帐 单 的 类别 等 因素 也 影响 佣金 的 比率 。",交易,笔,笔,个,次
LWC_3402909712921341_03,都 系 炒 <CL> 饭 医治 下 各 五脏庙 再 等 。,医治,个,个,个,个
LWC_3405904852634728_01,"各 会员 请 注意 , 延续 上 <CL> 聚会 , 但 宵夜 改为 晚饭 , 时间 地点 请 提供 意见",聚会,次,次,次,次
LWC_3402002395070728_01,"顿时 觉得 我 好 神 , 一 大 清早 特地 赖 了 会 小床 , 匆匆 间 换 了 <CL> 衣服 匆匆 间 出门 , 又 匆匆 间 跑到 一半 发现 钱 神马 都 没 带 , 接着 便 匆匆 往家 跑 又 匆匆 往外 跑 。",衣服,件,件,个,件
